exercise_title,musculo_principal,patron
Ab Wheel,Abs,Core
Back Extension (Hyperextension),Lower back,Core
Band Pullaparts,Cardio,Horizontal Pull
Bench Press (Barbell),Chest,Horizontal Push
Bicep Curl (Barbell),Biceps,Curl
Bicep Curl (Cable),Biceps,Curl
Bicycle Crunch,Abs,Core
Bicycle Crunch Raised Legs,Abs,Core
Butterfly (Pec Deck),Chest,Horizontal Push
Chest Dip,Chest,Horizontal Push
Chest Dip (Assisted),Chest,Horizontal Push
Chest Fly (Machine),Chest,Horizontal Push
Chin Up (Assisted),Back,Vertical Pull
Crunch,Abs,Core
Crunch (Machine),Abs,Core
Crunch (Weighted),Abs,Core
Curtsy Lunge (Dumbbell),Glutes,Legs
Deadlift (Barbell),Hamstrings,Hip Hinge
EZ Bar Biceps Curl,Biceps,Curl
Elliptical Trainer,Cardio,Cardio
Hack Squat (Machine),Quads,Legs
Hammer Curl (Dumbbell),Biceps,Curl
Hip Abduction (Machine),Glutes,Legs
Hip Thrust (Barbell),Glutes,Hip Hinge
Incline Bench Press (Dumbbell),Chest,Horizontal Push
Iso-Lateral Row (Machine),Back,Horizontal Pull
Lat Pulldown (Cable),Back,Vertical Pull
Lat Pulldown (Machine),Back,Vertical Pull
Lateral Raise (Dumbbell),Shoulders,Vertical Push Up
Leg Extension (Machine),Quads,Legs
Leg Press (Machine),Quads,Legs
Leg Press Horizontal (Machine),Quads,Legs
Low Cable Fly Crossovers,Chest,Horizontal Push
Lying Leg Curl (Machine),Hamstrings,Legs
Overhead Press (Dumbbell),Shoulders,Vertical Push Up
Overhead Triceps Extension (Cable),Triceps,Vertical Push Up
Pendulum Squat (Machine),Quads,Legs
Preacher Curl (Barbell),Biceps,Curl
Preacher Curl (Machine),Biceps,Curl
Pull Up,Back,Vertical Pull
Rear Delt Reverse Fly (Machine),Shoulders,Horizontal Pull
Romanian Deadlift (Barbell),Hamstrings,Hip Hinge
Rowing Machine,Cardio,Cardio
Running,Cardio,Cardio
Seated Cable Row - Bar Grip,Back,Horizontal Pull
Seated Incline Curl (Dumbbell),Biceps,Curl
Seated Leg Curl (Machine),Hamstrings,Legs
Seated Row (Machine),Back,Horizontal Pull
Shoulder Press (Dumbbell),Shoulders,Vertical Push Up
Side Plank,Abs,Core
Single Arm Lateral Raise (Cable),Shoulders,Vertical Push Up
Single Leg Standing Calf Raise (Machine),Calves,Legs
Snowboarding,Cardio,Cardio
Squat (Barbell),Quads,Legs
Standing Calf Raise (Machine),Calves,Legs
Stretching,Mobility,Mobility
T Bar Row,Back,Horizontal Pull
Treadmill,Cardio,Cardio
Triceps Dip,Triceps,Horizontal Push
Triceps Pressdown,Triceps,Vertical Push Down
Triceps Pushdown,Triceps,Vertical Push Down
Walking,Cardio,Cardio
Warm Up,Mobility,Mobility
